city,description,formal_name,link,location,name,rank,rating_star,recommend_rate,review_link,review_number,state,tuition_and_fees,undergraduate_enrollment,ci,ci_level,city,contributor,crime_index,dg,dg_level,loc,loc_level,pc,pc_level,pcb,pcb_level,pv,pv_level,safety_index,sd,sd_level,sn,sn_level,university,update,wa,wa_level,wbi,wbi_level,wbm,wbm_level,wbsc,wbsc_level,wcs,wcs_level,whb,whb_level,wtc,wtc_level,pcp_in_Apr,pcp_in_Aug,pcp_in_Dec,pcp_in_Feb,pcp_in_Jan,pcp_in_July,pcp_in_June,pcp_in_Mar,pcp_in_May,pcp_in_Nov,pcp_in_Oct,pcp_in_Sep,tmax_in_Apr,tmax_in_Aug,tmax_in_Dec,tmax_in_Feb,tmax_in_Jan,tmax_in_July,tmax_in_June,tmax_in_Mar,tmax_in_May,tmax_in_Nov,tmax_in_Oct,tmax_in_Sep,tmin_in_Apr,tmin_in_Aug,tmin_in_Dec,tmin_in_Feb,tmin_in_Jan,tmin_in_July,tmin_in_June,tmin_in_Mar,tmin_in_May,tmin_in_Nov,tmin_in_Oct,tmin_in_Sep,university,Bike_Main_Means,Bus_Trolleybus_Main_Means,Bus_Trolleybus_Ride_Bus_Trolleybus,CO2_Emission_Index,Car_Main_Means,Distance_Bus_Trolleybus,Distance_Car,Distance_Overall,Driving_Car_Car,Inefficiency_Index,Motorbike_Main_Means,Overall_Bus_Trolleybus,Overall_Car,Overall_Overall,Time_Exp_Index,Time_Index_in_minutes,Traffic_Index,Train_Metro_Main_Means,Train_Metro_Ride_Bus_Trolleybus,Tram_Streetcar_Main_Means,University,Waiting_Bus_Trolleybus,Walking_Bus_Trolleybus,Walking_Main_Means,Working_from_Home_Main_Means
Princeton,"The ivy-covered campus of Princeton University, a private institution, is located in the quiet town of Princeton, New Jersey. Princeton was the first university to offer a ""no loan"" policy to financially needy students, giving grants instead of loans to accepted students who need help paying tuition.",Princeton University,https://www.usnews.com/best-colleges/princeton-university-2627,"Princeton, NJ",PRINCETON UNIVERSITY,1,4.6,95%,https://www.usnews.com/best-colleges/princeton-university-2627/reviews,19.0,NJ,56010.0,4773,60.0,High,"Princeton, NJ",10.0,25.03,25.0,Low,19.44,Very Low,25.0,Low,17.5,Very Low,22.22,Low,74.97,85.0,Very High,72.5,High,Princeton University,20-May,22.22,Low,27.78,Low,22.22,Low,19.44,Very Low,22.22,Low,30.56,Low,30.56,Low,2.55,7.01,1.38,4.91,1.74,9.04,3.48,3.49,3.56,0.88,4.81,7.24,64.5,86.0,49.5,39.0,41.3,86.6,84.0,55.5,73.5,54.8,70.6,79.2,41.0,66.7,33.4,25.3,26.6,65.8,60.9,33.5,49.2,33.2,52.1,58.6,Princeton University,0.00%,20.00%,70.0,"3,280.00",80.00%,96.56,9.24,26.71,12.5,286.81,0.00%,110.0,12.5,32.0,230.25,32.0,121.38,0.00%,15.0,0.00%,Princeton University,15.0,10.0,0.00%,0.00%
New York,"Columbia University has three undergraduate schools: Columbia College, The Fu Foundation School of Engineering and Applied Sciences (SEAS), and the School of General Studies. This Ivy League, private school guarantees students housing for all four years on campus in Manhattan?é?s Morningside Heights neighborhood in New York Cit",Columbia University,https://www.usnews.com/best-colleges/columbia-university-2707,"New York, NY",COLUMBIA UNIVERSITY,2,5.0,100%,https://www.usnews.com/best-colleges/columbia-university-2707/reviews,40.0,NY,63530.0,6170,54.69,Moderate,"New York, NY",467.0,47.21,58.14,Moderate,50.51,Moderate,54.75,Moderate,52.73,Moderate,50.17,Moderate,52.79,72.89,High,50.27,Moderate,Columbia University,22-Mar,45.08,Moderate,52.66,Moderate,46.19,Moderate,37.05,Low,37.42,Low,38.76,Low,46.61,Moderate,2.7,10.32,1.39,5.13,2.31,11.1,2.63,3.41,4.36,1.13,5.26,10.03,63.7,83.9,49.3,39.0,39.7,83.0,82.5,54.1,71.7,52.8,67.9,76.6,45.5,71.2,38.3,29.5,29.9,69.0,66.0,37.6,54.0,39.7,56.1,64.0,Columbia University,4.20%,4.90%,64.29,"3,024.04",20.98%,26.5,29.6,15.85,42.33,188.28,0.00%,82.57,43.3,42.77,"2,535.54",42.77,161.83,42.66%,7.14,0.00%,Columbia University,5.57,5.57,20.98%,6.29%
Cambridge,"Harvard University is a private institution in Cambridge, Massachusetts, just outside of Boston. This Ivy League school is the oldest higher education institution in the country and has the largest endowment of any school in the world.",Harvard University,https://www.usnews.com/best-colleges/harvard-university-2155,"Cambridge, MA",HARVARD UNIVERSITY,2,4.8,100%,https://www.usnews.com/best-colleges/harvard-university-2155/reviews,18.0,MA,55587.0,5222,57.14,Moderate,"Cambridge, MA",14.0,36.21,53.57,Moderate,40.38,Moderate,48.21,Moderate,32.14,Low,33.93,Low,63.79,83.93,Very High,64.29,High,Harvard University,22-Jan,28.57,Low,33.93,Low,30.36,Low,16.07,Very Low,25.0,Low,37.5,Low,46.15,Moderate,4.58,5.42,3.16,3.2,2.31,11.46,2.48,1.8,4.99,2.31,6.62,6.86,60.3,83.1,44.2,35.7,37,78.9,82.7,51.7,71.3,52.4,65.8,75.8,37.4,64.4,28.0,19.3,21.9,61.2,59.5,27.2,47.2,30.5,46.8,55.7,Harvard University,42.86%,14.29%,20.0,"1,634.29",14.29%,3.22,8.05,4.88,40.0,58.26,0.00%,20.0,40.0,23.86,23.86,23.86,76.8,0.00%,,0.00%,Harvard University,,,28.57%,0.00%
Cambridge,"Though the Massachusetts Institute of Technology may be best known for its math, science and engineering education, this private research university also offers architecture, humanities, management and social science programs. The school is located in Cambridge, Massachusetts, just across the Charles River from downtown Boston.",Massachusetts Institute of Technology,https://www.usnews.com/best-colleges/massachusetts-institute-of-technology-2178,"Cambridge, MA",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2,4.9,100%,https://www.usnews.com/best-colleges/massachusetts-institute-of-technology-2178/reviews,13.0,MA,55878.0,4361,57.14,Moderate,"Cambridge, MA",14.0,36.21,53.57,Moderate,40.38,Moderate,48.21,Moderate,32.14,Low,33.93,Low,63.79,83.93,Very High,64.29,High,Massachusetts Institute of Technology,22-Jan,28.57,Low,33.93,Low,30.36,Low,16.07,Very Low,25.0,Low,37.5,Low,46.15,Moderate,4.58,5.42,3.16,3.2,2.31,11.46,2.48,1.8,4.99,2.31,6.62,6.86,60.3,83.1,44.2,35.7,37,78.9,82.7,51.7,71.3,52.4,65.8,75.8,37.4,64.4,28.0,19.3,21.9,61.2,59.5,27.2,47.2,30.5,46.8,55.7,Massachusetts Institute of Technology,42.86%,14.29%,20.0,"1,634.29",14.29%,3.22,8.05,4.88,40.0,58.26,0.00%,20.0,40.0,23.86,23.86,23.86,76.8,0.00%,,0.00%,Massachusetts Institute of Technology,,,28.57%,0.00%
New Haven,"Yale University, located in New Haven, Connecticut, offers a small college life with the resources of a major research institution. Yale students are divided into 14 residential colleges that foster a supportive environment for living, learning and socializing.",Yale University,https://www.usnews.com/best-colleges/yale-university-1426,"New Haven, CT",YALE UNIVERSITY,5,5.0,100%,https://www.usnews.com/best-colleges/yale-university-1426/reviews,8.0,CT,59950.0,4703,38.75,Low,"New Haven, CT",20.0,52.86,65.79,High,65.0,High,63.75,High,25.0,Low,62.5,High,47.14,75.0,High,35.0,Low,Yale University,21-Apr,47.5,Moderate,50.0,Moderate,60.0,High,30.26,Low,55.0,Moderate,50.0,Moderate,65.0,High,3.11,4.16,1.87,3.41,1.74,9.19,1.44,2.98,5.34,1.66,6.36,8.22,60.0,82.2,45.2,36.1,36.8,81.1,80.5,50.3,69.4,51.7,66.4,75.3,37.8,64.4,30.6,21.4,22.3,62.8,58.3,28.6,47.0,30.9,48.4,57.0,Yale University,0.00%,0.00%,,"6,650.00",80.00%,,28.24,28.24,25.0,117.06,0.00%,,26.25,26.25,28.08,26.25,123.92,0.00%,,0.00%,Yale University,,,0.00%,20.00%
Stanford,"The sunny campus of Stanford University is located in California?é?s Bay Area, about 30 miles from San Francisco. The private institution stresses a multidisciplinary combination of teaching, learning, and research, and students have many opportunities to get involved in research project",Stanford University,https://www.usnews.com/best-colleges/stanford-university-1305,"Stanford, CA",STANFORD UNIVERSITY,6,4.8,100%,https://www.usnews.com/best-colleges/stanford-university-1305/reviews,10.0,CA,56169.0,6366,,,,,,,,,,,,,,,,,,,,,Stanford University,,,,,,,,,,,,,,,,0.15,0.01,9.93,1.13,4.75,0.01,0.0,2.07,0.0,0.79,4.74,0.02,68.1,85.2,54.0,60.2,58.7,84.8,81.6,60.9,74.3,67.2,73.3,83.2,44.3,58.8,39.2,39.2,39.4,59.5,54.9,38.4,48.2,46.3,49.1,56.2,Stanford University,,,,,,,,,,,,,,,,,,,,,Stanford University,,,,
Chicago,"The University of Chicago, situated in Chicago?é?s Hyde Park community, offers a rich campus life in a big-city setting. Since 1987, the private institution has hosted the University of Chicago Scavenger Hunt, a four-day event that is regarded as the largest scavenger hunt in the worl",University of Chicago,https://www.usnews.com/best-colleges/university-of-chicago-1774,"Chicago, IL",UNIVERSITY OF CHICAGO,6,4.4,85%,https://www.usnews.com/best-colleges/university-of-chicago-1774/reviews,47.0,IL,60963.0,6989,71.98,High,"Chicago, IL",448.0,66.0,70.69,High,78.46,High,68.93,High,71.23,High,71.35,High,34.0,55.77,Moderate,25.34,Low,University of Chicago,22-Mar,62.19,High,60.96,High,64.5,High,48.14,Moderate,55.61,Moderate,56.46,Moderate,65.63,High,0.71,4.51,2.3,1.26,1.96,1.89,6.78,1.25,1.79,0.72,5.78,1.23,61.3,86.2,45.8,27.5,34,82.3,83.8,53.3,69.7,48.1,66.6,79.8,42.5,68.1,30.3,13.2,24.5,66.5,64.8,35.3,50.8,32.5,52.7,60.7,University of Chicago,3.62%,5.80%,25.25,"7,368.34",56.52%,8.07,30.57,23.28,45.26,212.3,0.00%,37.12,46.47,41.85,"2,202.54",41.85,189.2,15.94%,3.75,0.00%,University of Chicago,4.25,3.88,13.04%,5.07%
Philadelphia,"Founded by Benjamin Franklin, the University of Pennsylvania is a private institution in the University City neighborhood of Philadelphia, Pennsylvania. Students can study in one of four schools that grant undergraduate degrees: Arts and Sciences, Nursing, Engineering and Applied Sciences, and Wharton.",University of Pennsylvania,https://www.usnews.com/best-colleges/university-of-pennsylvania-3378,"Philadelphia, PA",UNIVERSITY OF PENNSYLVANIA,8,4.7,89%,https://www.usnews.com/best-colleges/university-of-pennsylvania-3378/reviews,29.0,PA,61710.0,9872,70.86,High,"Philadelphia, PA",166.0,62.91,76.77,High,75.63,High,67.94,High,62.82,High,70.52,High,37.09,62.2,High,30.76,Low,University of Pennsylvania,22-Mar,57.62,Moderate,61.23,High,59.82,Moderate,43.47,Moderate,48.14,Moderate,53.07,Moderate,63.28,High,2.69,6.18,1.64,4.65,1.55,6.72,3.06,4.21,3.24,0.46,4.82,4.61,65.7,87.1,52.6,39.7,42,87.3,84.6,57.1,74.2,55.7,71.7,80.1,45.6,71.3,38.0,28.8,29.5,70.4,65.5,37.7,53.9,37.8,56.5,63.0,University of Pennsylvania,5.08%,1.69%,60.0,"7,389.21",57.63%,16.09,29.97,22.52,42.0,270.9,1.69%,105.0,42.41,40.26,"1,690.54",40.26,183.8,6.78%,,0.00%,University of Pennsylvania,40.0,5.0,16.95%,10.17%
Pasadena,"The California Institute of Technology focuses on science and engineering education and has a low student-to-faculty ratio of 3:1. This private institution in Pasadena, California, is actively involved in research projects with grants from NASA, the National Science Foundation and the U.S. Department of Health and Human Services.",California Institute of Technology,https://www.usnews.com/best-colleges/california-institute-of-technology-1131,"Pasadena, CA",CALIFORNIA INSTITUTE OF TECHNOLOGY,9,4.7,89%,https://www.usnews.com/best-colleges/california-institute-of-technology-1131/reviews,10.0,CA,58680.0,901,37.5,Low,"Pasadena, CA",12.0,19.95,20.0,Low,18.18,Very Low,20.45,Low,20.45,Low,20.45,Low,80.05,93.18,Very High,75.0,High,California Institute of Technology,22-Feb,15.91,Very Low,22.5,Low,20.45,Low,22.73,Low,9.09,Very Low,18.18,Very Low,25.0,Low,0.04,0.02,7.72,0.04,2.0,0.08,0.0,1.07,0.02,0.0,0.79,0.01,73.1,89.6,58.0,64.0,61.7,91.1,87.2,63.3,77.0,72.6,73.7,85.8,48.1,64.2,39.9,41.2,40.6,66.2,60.4,40.8,53.5,47.3,50.6,60.2,California Institute of Technology,0.00%,0.00%,,"11,438.00",100.00%,,23.92,23.92,43.0,273.78,0.00%,,43.0,43.0,"2,626.36",43.0,217.74,0.00%,,0.00%,California Institute of Technology,,,0.00%,0.00%
Durham,"Located in Durham, North Carolina, Duke University is a private institution that has liberal arts and engineering programs for undergraduates. The Duke Blue Devils sports teams have a fierce rivalry with the University of North Carolina?é?Chapel Hill Tar Heels and are best known for their outstanding men's basketball progra",Duke University,https://www.usnews.com/best-colleges/duke-university-2920,"Durham, NC",DUKE UNIVERSITY,9,4.5,86%,https://www.usnews.com/best-colleges/duke-university-2920/reviews,30.0,NC,60489.0,6717,59.78,Moderate,"Durham, NC",24.0,54.56,63.04,High,65.22,High,59.38,Moderate,42.39,Moderate,62.5,High,45.44,70.83,High,34.38,Low,Duke University,22-Jan,48.96,Moderate,58.7,Moderate,56.25,Moderate,39.13,Low,32.29,Low,55.21,Moderate,59.38,Moderate,1.43,3.88,1.94,6.49,4.52,5.89,5.93,2.88,2.15,0.62,4.7,3.18,73.3,89.6,62.4,50.2,49.8,88.7,85.2,65.0,79.1,60.7,76.2,83.3,44.3,68.2,37.7,30.6,29.2,67.4,63.7,39.9,51.9,33.2,52.5,59.0,Duke University,0.00%,9.09%,5.0,"5,366.00",90.91%,1.61,16.11,14.79,22.1,102.67,0.00%,12.0,23.3,22.27,22.27,22.27,110.38,0.00%,,0.00%,Duke University,3.0,2.0,0.00%,0.00%
